OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Cases/families,Case(s),,4.0,Worldwide
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Cases/families,Case(s),,2.0,Worldwide
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
58,Alexander disease,Annual incidence,Value and class,<1 / 1 000 000,0.037,Japan
58,Alexander disease,Point prevalence,Class only,Unknown,0.0,Worldwide
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Cases/families,Case(s),,3.0,Worldwide
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
61,Alpha-mannosidosis,Point prevalence,Value and class,1-9 / 1 000 000,0.1,Europe
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Australia
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Norway
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Netherlands
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Czech Republic
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.07,Sweden
166038,"Metaphyseal chondrodysplasia, Kaitila type",Cases/families,Case(s),,2.0,Worldwide
166038,"Metaphyseal chondrodysplasia, Kaitila type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Cases/families,Case(s),,12.0,Worldwide
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 1 000 000,0.2,Australia
93,Aspartylglucosaminuria,Point prevalence,Class only,Unknown,0.0,Worldwide
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 1 000 000,0.62,Sweden
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 100 000,3.35,Finland
585,Multiple sulfatase deficiency,Cases/families,Case(s),,154.0,Worldwide
585,Multiple sulfatase deficiency,Point prevalence,Value and class,1-9 / 1 000 000,0.2,Worldwide
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.14,Europe
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Czech Republic
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Netherlands
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal
118,Beta-mannosidosis,Point prevalence,Class only,Unknown,0.0,Worldwide
141,Canavan disease,Point prevalence,Class only,Unknown,0.0,Worldwide
141,Canavan disease,Annual incidence,Value and class,1-9 / 100 000,7.0,Specific population
141,Canavan disease,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Worldwide
166063,Pontocerebellar hypoplasia type 4,Cases/families,Family(ies),,10.0,Worldwide
166063,Pontocerebellar hypoplasia type 4,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166078,Von Willebrand disease type 1,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
166073,Pontocerebellar hypoplasia type 6,Cases/families,Case(s),,10.0,Worldwide
166073,Pontocerebellar hypoplasia type 6,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.75,Worldwide
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.5,Europe
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.31,France
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.59,Germany
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 100 000,2.1,United Kingdom
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.52,Australia
