Feature,Biological anomaly,Category,Clinical group,Clinical subtype,Clinical syndrome,Disease,Etiological subtype,Histopathological subtype,Malformation syndrome,Morphological anomaly,Particular clinical situation in a disease or syndrome
onset_Antenatal,0.12993750327453962,-0.2082177019398509,-0.05506047818589893,0.04228609162472963,-0.08282328032423639,-0.11438240802117854,0.1147033091204479,-0.1610324341191921,0.3916513254281933,0.12212619682155426,-0.17918812367911605
onset_Neonatal,-0.30632396693005437,-0.47896107956177664,-0.12823526916326067,-0.00208769431615639,0.1574451961917156,0.07169083753090176,0.04961677660940053,-0.35165283016443694,0.6628699392579466,0.35130812475961803,-0.025670034213897772
onset_Infancy,-0.16048101610297646,-0.2908474429631173,-0.031929545112233323,0.12430975672247788,-0.011266492163649286,0.23164624236495893,0.1808954079207131,-0.16352424586412095,0.14879839523013239,0.08541813475389921,-0.11301919478607078
onset_Childhood,-0.1420244226136865,-0.3549248062776686,-0.015058407015576569,-0.06540418648488193,0.11411741200843054,0.263878517962641,0.07750292222905887,0.1739214726936921,0.1856793427314822,-0.10901654153074893,-0.12867130370272728
onset_Adolescent,0.09540995413724442,-0.149274392832625,0.039647979976593306,-0.0212098575973282,0.18713780195684615,0.09406723014249944,0.03998529785911292,-0.20258731417400538,-0.0676174875296734,-0.024594248225632286,0.009035036286969712
onset_Adult,-0.30985111944593363,-0.4280355304009993,-0.12368003854007363,0.02942572777582728,0.3762209386155068,0.3563557688167714,-0.10898143379609772,0.44762127038586935,-0.21847934390408694,-0.16932788490211972,0.14873164539534725
onset_Elderly,-0.05211948688295748,-0.06618381710133674,-0.07611258725115475,0.0028784275032440144,0.11083580072323611,0.06039403188620183,-0.0432942588967492,0.007373639953823673,-0.06777275491731162,-0.0335623404639661,0.15756334544696682
onset_All ages,-0.09100043878633834,-0.4184022640213899,-0.04952477677614777,-0.1539786887011096,0.46937395085146505,0.14772212436471613,-0.1671070107721552,-0.09444822027886918,-0.24789689740524004,-0.22224720179079296,0.8275094233158585
inh_Autosomal_recessive,0.4408508388352051,-0.23844602217839242,0.07497151520503492,0.3422866753175342,-0.2601199626762017,0.3400283071329658,0.21882169960775016,-0.3264532681518547,0.14536798158671985,-0.30208883686599897,-0.435218927812751
inh_Autosomal_dominant,0.5463135178434949,-0.26220134245489335,-0.002554103331284192,0.10224259454146396,-0.12517028437795732,0.16006798517289922,0.32818434414649394,-0.4340046304539753,0.17306940765755763,-0.0215104660119902,-0.46443702273180065
inh_X-linked_recessive,-0.10821916001379558,0.025892139555980808,0.17236160570697315,0.0652015145543573,0.06596694359979617,0.012667018115594442,-0.04072159437876727,-0.09270341241518619,0.051892285001136636,-0.05609018471619118,-0.09624715500989929
inh_X-linked_dominant,-0.03554165524917879,-0.02462232682117113,0.05826999813762938,0.0035913255984477248,0.06550348597856112,-0.009147216009591357,-0.050915401300691,-0.030114132144747483,0.05654694717094338,0.0035873272957571652,-0.037158352655958904
inh_Mitochondrial,-0.007309855703970389,0.018608428827431904,0.03701899053332409,-0.01409580084531718,-0.007093279073021581,0.018611855891673048,-0.010607499072572805,-0.005209603398014399,-0.013391165227924638,-0.008568371965808102,-0.00796369996579961
inh_Multigenic_multifactorial,-0.033233795872616406,-0.02911096029521116,0.1171749712269626,0.10656579385714146,-0.07051447871735768,0.028732406525240152,-0.0630200480576135,-0.050672164215473776,-0.055313594005615765,0.12732492094286957,-0.0779330513883251
disorder_Biological anomaly,3.272378373822414,-0.3830138301191623,-0.3430629087175027,-0.37578570316103194,-0.2367514762903749,-0.40188584238186753,-0.3685146183805772,-0.2371324291668618,-0.3959920465021491,-0.3160052199224156,-0.21423429918046372
disorder_Category,-0.46198303998290857,6.543321245939695,-0.7270610403925208,-0.7494254704324872,-0.5331548023870895,-0.846436719929424,-0.6391397325222357,-0.5983788222024271,-0.7264904807204156,-0.7138559073386164,-0.5473952300316209
disorder_Clinical group,-0.3579497694243528,-0.7379309115806861,5.747899758173954,-0.6596300889491198,-0.46629716390921383,-0.7629219007222215,-0.551306690176092,-0.46477180799896506,-0.6775731195647645,-0.5928202430430458,-0.4766980628054662
disorder_Clinical subtype,-0.4214314156701477,-0.7597091543137564,-0.6478972879327916,6.242978943521983,-0.489689279798634,-0.8594062596811491,-0.6298204666285866,-0.5030926834363976,-0.8133955996413342,-0.6432992291880907,-0.4752375672311381
disorder_Clinical syndrome,-0.220141504878561,-0.46251161437737875,-0.45007413281114833,-0.46245846374688265,4.298191178492193,-0.5616711063298743,-0.41789151159549803,-0.35792246365816743,-0.48900870948217934,-0.4489474795364056,-0.4275641920761293
disorder_Disease,-0.5183926297193552,-0.8248702604621247,-0.7503622894303847,-0.8420313091829713,-0.6191764932437592,7.148822356981459,-0.7297438815752945,-0.6052615319723879,-0.9132640405334922,-0.7443343444498441,-0.6013855764118093
disorder_Etiological subtype,-0.35448017412101707,-0.6193068380564174,-0.5521282430893195,-0.6595756995342485,-0.41631694035928335,-0.7039409247837001,5.327148651092995,-0.40205491861967363,-0.683181338735617,-0.573649076622027,-0.36251449717169976
disorder_Histopathological subtype,-0.22801461628935613,-0.5597778947066417,-0.4728127594751739,-0.4796021676128717,-0.368099965244119,-0.5242952693036063,-0.4173194595380289,4.299522170523549,-0.42395519647112967,-0.46162186221868695,-0.3640229796639466
disorder_Malformation syndrome,-0.44866623335145633,-0.7395139257201283,-0.6821476770226372,-0.7842546879887556,-0.49339806939678094,-0.9436683699282347,-0.6928200199395272,-0.4671442871111622,6.445794175439248,-0.7551091828385686,-0.43907172214197454
disorder_Morphological anomaly,-0.3503258474719736,-0.7153447793168859,-0.5949510386760134,-0.647785651928503,-0.45873445183522693,-0.7269703810090624,-0.5669341922098893,-0.462677306479412,-0.764929311590949,5.736521123647694,-0.44786816312982
disorder_Particular clinical situation in a disease or syndrome,-0.1790936914405844,-0.5175715083558016,-0.5003572155988109,-0.4646318183495026,-0.4160938047589532,-0.5795443168046378,-0.3683685142090015,-0.3120221247232994,-0.4032179707547228,-0.4605352480423395,4.201436213037672
gene_HBB,-0.010920965870515142,-0.01612778005975746,-0.013778101636238422,0.029006349991040487,-0.008263191101475009,0.0014879110516085455,0.058779823775725874,-0.009083485054971615,-0.012307439888892895,-0.010160276431290161,-0.008632844775233912
